Sex,Length,Diameter,Height,Shell Mass,Visceral Fat Mass,Body Fat Mass,Age
I,0.6875,0.5,0.1375,0.737087,0.5953395,1.077281,4
I,1.325,0.95,0.3125,5.2446575,3.2034935,8.278054,8
F,1.2625,0.9375,0.45,4.819415,4.23825025,6.59125875,12
I,1.0625,0.95,0.2625,2.83495,2.22543575,3.64291075,10
I,1.075,0.825,0.25,2.7499015,2.33883375,7.200773,6
I,0.825,0.65,0.2,1.8427175,1.09145575,2.16873675,7
I,1.6375,1.2875,0.3625,8.9300925,8.0229085,14.92601175,15
F,1.6125,1.25,0.5,10.20582,8.6465975,18.1153305,11
M,1.3125,1.0375,0.4,6.23689,4.46504625,7.37087,12
M,1.6875,1.3,0.3625,10.9145575,9.65300475,15.7906715,11
I,1.275,1.1375,0.3375,5.76912325,4.365823,8.15048125,9
M,1.4625,1.1375,0.375,8.788345,5.88252125,12.34620725,11
M,0.925,0.7,0.25,2.097863,1.68679525,3.01922175,8
M,0.7,0.5125,0.25,0.850485,0.80796075,1.54504775,5
F,1.325,1.05,0.425,4.26659975,5.896696,11.623295,6
M,0.875,0.6375,0.2125,1.70097,1.31825175,2.83495,13
M,1.525,1.1875,0.3875,9.34116025,6.7755305,15.705623,10
M,1.125,0.8375,0.3125,3.118445,3.572037,6.13766675,6
I,1.4625,1.175,0.425,8.9300925,6.78970525,10.47514025,10
I,1.35,1.075,0.35,6.50621025,4.89028875,11.15552825,9
F,1.35,1.0875,0.4375,9.4970825,4.932813,9.128539,13
I,1.325,1,0.3625,5.5281525,3.69960975,5.48562825,9
M,1.9375,1.425,0.55,18.66814575,13.48018725,20.8368825,17
F,1.3125,1,0.2875,5.10291,4.082328,7.24329725,11
F,1.55,1.25,0.4375,11.056305,6.520385,13.5227115,13
M,1.575,1.2875,0.4,10.0640725,6.917278,11.94931425,19
M,1.25,1,0.3125,4.706017,3.61456125,7.654365,9
M,1.85,1.45,0.5125,13.834556,13.31009025,23.11901725,12
I,1.05,0.8125,0.25,3.21766825,1.77184375,4.74854125,11
F,1.4,1.05,0.45,12.82814875,9.922325,21.98503725,9
I,1.3,0.95,0.35,5.2446575,3.2601925,5.03203625,11
M,1.575,1.2,0.4125,9.922325,7.6827145,17.123098,8
M,1.5,1.2375,0.4875,10.6310625,5.386405,10.886208,26
M,1.2,0.9375,0.3625,4.819415,3.685435,6.123492,9
M,1.5,1.275,0.4625,8.9300925,7.78193775,17.27902025,9
F,1.6,1.25,0.375,9.51125725,6.5487345,15.8473705,9
I,1.0125,0.775,0.1625,2.494756,1.871067,4.46504625,6
F,1.425,1.1,0.3125,7.654365,4.89028875,10.41844125,12
F,1.325,1.0125,0.375,6.0951425,6.44951125,11.49572225,8
I,0.7375,0.5375,0.1875,1.13398,0.83631025,1.0489315,8
I,1.375,1.0625,0.3875,6.87475375,5.3013565,11.679994,10
M,1.7375,1.325,0.525,10.9145575,11.60912025,18.824068,10
I,1.35,1.0625,0.35,7.087375,3.95475525,9.07184,9
F,1.375,1.075,0.3125,8.0229085,4.9611625,11.43902325,8
F,1.5625,1.2375,0.4,9.7805775,8.00873375,12.74310025,11
I,1.5375,1.15,0.475,9.355335,6.406987,12.28950825,13
M,1.475,1.1625,0.3375,7.93786,5.6415505,12.00601325,8
M,1.3125,1,0.325,7.7961125,5.17378375,6.81805475,11
I,1.225,0.9625,0.3,5.03203625,3.18931875,7.6827145,9
I,1.0625,0.8,0.25,3.005047,1.70097,3.572037,7
I,0.8875,0.7,0.275,2.26796,1.48834875,2.31048425,7
M,1.175,0.9375,0.325,4.1106775,3.742134,6.066793,8
F,1.4875,1.1625,0.375,6.39281225,5.556502,11.66581925,10
M,1.55,1.2,0.4,8.50485,7.1724235,11.679994,13
F,1.4875,1.15,0.4,8.15048125,5.74077375,11.35397475,9
I,0.9875,0.725,0.2375,2.1829115,2.381358,3.6003865,6
M,1.575,1.225,0.475,8.0796075,9.53960675,13.99047825,11
M,1.4375,1.1125,0.3625,7.654365,4.57844425,10.75863525,10
M,0.675,0.4875,0.2,0.850485,0.55281525,1.09145575,6
F,1.25,0.9625,0.2625,4.819415,3.10427025,5.08873525,17
I,1.475,1.125,0.4,9.7805775,6.19436575,7.78193775,14
M,1.65,1.3375,0.475,14.67086625,8.4198015,18.21455375,9
I,0.975,0.75,0.225,2.26796,1.5025235,3.01922175,7
I,1.2125,1.0375,0.35,5.2446575,3.798833,7.087375,8
M,1.4875,1.225,0.4625,10.2341695,5.71242425,13.664459,10
M,0.6875,0.5125,0.175,0.92135875,0.56699,0.94970825,5
I,1.175,0.9,0.325,4.6776675,3.01922175,5.613201,9
I,1.2625,0.9625,0.3125,5.953395,2.7499015,6.9456275,9
F,1.725,1.325,0.425,10.47514025,9.87980075,22.52367775,9
I,1.0625,0.7875,0.2,2.6932025,1.65844575,3.7137845,7
I,1.3875,1.15,0.3625,7.83863675,4.479221,10.90038275,11
F,1.5125,1.2,0.375,8.3064035,8.03708325,12.77144975,10
I,0.775,0.5875,0.225,1.13398,0.8788345,1.360776,6
M,1.125,0.8375,0.35,4.252425,2.154562,4.649318,14
I,1.325,1.05,0.3875,5.443104,3.1467945,13.39513875,10
I,0.825,0.6625,0.225,1.70097,1.020582,1.927766,6
I,1.25,0.9625,0.3875,5.386405,4.5642695,10.75863525,14
I,0.9625,0.6625,0.2,1.984465,1.0489315,3.515338,6
F,1.525,1.2,0.475,10.3475675,9.14271375,14.78426425,12
M,1.3625,1.05,0.3625,5.8116475,4.37999775,10.61688775,7
M,1.575,1.2125,0.4375,13.04077,8.34892775,12.28950825,23
I,0.8375,0.625,0.2,1.63009625,1.13398,2.08368825,6
M,1.425,1.0375,0.325,6.747181,5.54232725,12.11941125,13
M,1.525,1.2,0.4125,10.546014,7.58349125,15.80484625,8
F,1.35,1.1,0.4,10.0640725,6.50621025,11.0846545,15
M,1.575,1.1625,0.375,4.989512,5.329706,15.2236815,8
I,1.1125,0.825,0.275,3.35941575,1.8994165,4.32329875,8
M,1.55,1.125,0.5,6.81805475,4.32329875,12.14776075,8
F,1.7875,1.4125,0.45,15.26620575,10.02154825,23.926978,9
I,1.075,0.8125,0.225,2.6932025,2.4664065,6.1518415,7
M,1.625,1.2125,0.4,8.71747125,7.89533575,16.20173925,10
I,1.3625,1.0875,0.3375,6.4353365,4.195726,10.546014,8
M,1.6,1.25,0.4375,11.4815475,8.29222875,14.35902175,13
M,1.6,1.2625,0.45,10.2908685,8.85921875,16.726205,11
I,1.525,1.1875,0.425,9.07184,6.8322295,12.57300325,14
F,1.6125,1.3,0.475,10.489315,8.164656,16.44271,12
M,1.525,1.2125,0.425,9.355335,8.60407325,16.9246515,9
F,1.1,0.85,0.25,3.685435,2.4664065,5.329706,10
F,1,0.75,0.2875,2.65067825,1.31825175,3.78465825,8
F,1.425,1.2375,0.4,8.9300925,7.7961125,12.813974,14
M,1.6625,1.25,0.4375,8.9300925,8.901743,17.22232125,9
M,1.7375,1.425,0.5,19.4194075,12.06271225,21.2904745,15
M,1.6125,1.2,0.375,8.0796075,7.35669525,17.16562225,9
M,1.475,1.2,0.4,9.4970825,7.72523875,16.11669075,9
M,1.7125,1.325,0.425,13.1825175,10.8578585,18.3421265,11
F,1.6625,1.25,0.375,10.19164525,8.37727725,13.11164375,10
F,1.2875,1.05,0.3375,6.0951425,3.6003865,7.98038425,9
F,1.65,1.2625,0.4625,12.5021295,8.57572375,19.561155,11
M,1.1625,0.9375,0.275,4.26659975,3.2034935,5.953395,8
I,1.25,0.9625,0.375,4.53592,4.72019175,7.38504475,10
F,1.425,1.1125,0.3875,7.5126175,5.74077375,14.92601175,10
I,1.125,0.8375,0.2375,3.35941575,1.77184375,4.57844425,7
I,0.95,0.7,0.2375,1.8994165,1.23320325,4.6776675,7
M,1.575,1.2,0.4625,9.128539,7.24329725,15.025235,11
I,1.3875,1.1375,0.425,8.50485,5.40057975,8.7599955,15
M,1.4375,1.1,0.4625,7.04485075,6.36446275,14.38737125,10
I,0.4625,0.3375,0.1,0.2551455,0.15592225,0.29766975,5
M,1.1875,0.9375,0.3,5.2446575,3.41611475,7.15824875,10
F,1.675,1.3,0.4875,14.33067225,10.58853825,21.488921,11
I,1.1,0.875,0.3125,3.7137845,2.70737725,5.953395,8
I,1.15,0.8875,0.275,3.5436875,2.721552,5.59902625,8
F,1.6875,1.325,0.4375,11.0279555,9.355335,19.20678625,10
F,1.5,1.175,0.475,9.56795625,7.35669525,13.947954,10
F,1.75,1.4375,0.5,13.0691195,11.24057675,21.98503725,11
M,1.3375,1.05,0.3125,5.08873525,5.37223025,10.0640725,8
M,1.025,0.7875,0.2375,2.551455,2.08368825,3.4302895,9
I,0.725,0.525,0.1625,0.850485,0.623689,1.06310625,6
M,1.3125,1.05,0.3875,5.79747275,4.01145425,12.133586,9
F,1.4875,1.075,0.525,11.623295,11.226402,18.5122235,11
I,1.125,0.8375,0.275,3.81300775,2.4097075,5.1312595,7
I,0.9,0.6875,0.2125,1.984465,1.17650425,2.11203775,9
M,1.4125,1.1375,0.375,7.7961125,5.8116475,12.587178,8
I,1.125,0.8875,0.2625,3.78465825,2.6365035,5.5848515,8
I,1.25,0.9375,0.3625,5.2446575,3.89805625,6.7755305,9
F,1.7375,1.4125,0.475,14.10387625,11.3114505,21.16290175,11
M,1.425,1.1125,0.4,8.50485,4.649318,14.628342,10
M,1.65,1.2625,0.5,17.293195,8.4198015,13.79203175,18
M,1.6,1.4625,0.4875,13.3526145,9.3836845,20.48251375,12
I,1.0875,0.8125,0.25,3.0900955,2.05533875,4.932813,7
M,1.45,1.175,0.4125,8.9300925,5.62737575,9.11436425,11
F,1.5125,1.2125,0.4,10.77281,8.15048125,11.8217415,9
F,1.625,1.3625,0.575,23.1048425,8.20718025,15.88989475,16
M,1.575,1.25,0.4375,9.70970375,8.68912175,15.97494325,10
F,1.175,0.8875,0.45,3.8271825,3.30271675,4.32329875,8
F,1.55,1.1875,0.4,9.28446125,6.6054335,19.46193175,9
I,1.25,0.9625,0.275,4.2807745,2.948348,8.54737425,8
I,0.775,0.5625,0.1875,1.03475675,1.0489315,1.8427175,6
F,1.5,1.15,0.3875,8.50485,5.79747275,12.1052365,8
I,1.0375,0.8125,0.25,2.9766975,1.68679525,4.35164825,10
M,1.6375,1.475,0.5,11.7650425,10.67358675,18.540573,11
I,1,0.75,0.275,2.1262125,2.0128145,3.89805625,6
I,1.225,0.925,0.275,3.9405805,2.93417325,7.6827145,8
M,1.1875,0.9625,0.3625,6.0951425,3.061746,6.6621325,14
F,1.3875,1.0625,0.35,8.0796075,4.52174525,7.994559,11
F,1.5875,1.25,0.375,8.788345,10.2341695,18.41300025,10
I,1.0375,0.8375,0.25,2.9766975,1.8994165,4.7910655,7
F,1.45,1.1375,0.3875,9.07184,3.92640575,8.9300925,18
F,1.225,0.9,0.275,5.5281525,3.0333965,4.5642695,17
F,1.4,1.1125,0.3875,7.64019025,9.14271375,15.77649675,10
F,1.5125,1.225,0.375,8.3631025,7.49844275,14.92601175,9
M,1.2375,1,0.3,5.386405,4.5642695,7.38504475,15
I,1.45,1.175,0.375,6.93145275,5.25883225,12.587178,11
F,1.45,1.25,0.4125,8.51902475,5.2446575,10.489315,10
I,1.025,0.8125,0.25,3.005047,1.85689225,5.896696,6
I,1.025,0.7625,0.2375,2.551455,1.45999925,2.83495,6
I,1.2,0.9,0.3125,4.1673765,2.90582375,7.92368525,7
I,1.0875,0.8375,0.25,2.778251,2.22543575,3.8271825,7
I,1.1,0.8875,0.4125,3.96893,2.9766975,4.5075705,16
M,1.6,1.2625,0.4125,11.056305,8.60407325,17.42076775,18
M,1.425,1.0875,0.325,5.499803,4.97533725,9.8939755,10
M,1.75,1.45,0.5125,16.44271,13.891255,21.02115425,20
M,1.2375,0.95,0.3,4.37999775,3.01922175,5.5848515,10
F,1.8375,1.5,0.55,17.0097,12.47378,32.13415825,11
F,1.6875,1.3375,0.4,11.90679,9.00096625,16.782904,16
M,1.6,1.4125,0.575,11.509897,10.546014,18.257078,15
M,1.45,1.1375,0.375,8.03708325,5.99591925,14.13222575,10
F,1.6375,1.275,0.3875,11.623295,8.09378225,15.15280775,11
I,0.825,0.625,0.1875,1.417475,0.9922325,1.587572,5
I,1.1,0.8625,0.2875,3.69960975,3.1467945,7.6260155,6
M,1.575,1.2375,0.45,13.31009025,8.3631025,14.0330025,10
M,0.95,0.675,0.2375,1.984465,1.45999925,2.36718325,6
M,1.1125,0.8625,0.35,3.07592075,2.87747425,5.82582225,15
I,0.675,0.475,0.2,0.850485,0.55281525,0.75126175,6
M,1.65,1.2125,0.3875,8.50485,7.767763,17.293195,8
F,1.8,1.4375,0.45,14.2030995,10.21999475,20.751834,12
M,1.7375,1.375,0.5125,14.061352,13.22504175,32.1199835,10
F,1.0375,0.8125,0.2625,3.40194,2.22543575,4.52174525,12
F,1.5625,1.3,0.45,10.6310625,9.9506745,13.73533275,11
I,0.6875,0.5,0.1875,0.850485,0.5386405,0.86465975,7
M,1.2625,0.9625,0.375,6.0951425,4.309124,6.973977,12
M,1.575,1.2625,0.4375,9.63883,7.144074,15.7339725,12
I,1.0375,0.8125,0.275,2.62232875,2.25378525,3.92640575,8
I,1.1875,1.05,0.4,5.23048275,4.26659975,9.922325,8
F,0.7625,0.575,0.2,1.360776,0.97805775,1.91359125,7
M,1.2875,0.9625,0.275,3.96893,4.53592,7.1724235,8
M,1.825,1.4375,0.525,18.2287285,11.5949455,26.32251075,11
I,1.125,0.875,0.3125,3.345241,2.5231055,6.33611325,6
I,0.8625,0.6875,0.2375,1.984465,1.51669825,2.14038725,6
I,0.7,0.5125,0.1375,0.94970825,0.77961125,1.2757275,7
F,1.325,1.05,0.3375,5.953395,4.01145425,7.27164675,9
M,1.5375,1.175,0.3625,8.0796075,8.00873375,12.57300325,11
I,1.0875,0.825,0.275,2.721552,2.721552,5.82582225,6
M,1.5625,1.25,0.4625,9.4970825,7.030676,16.99552525,10
I,1.15,0.875,0.275,3.5436875,2.45223175,4.77689075,9
M,1.6375,1.325,0.4375,11.7650425,7.47009325,13.777857,15
I,1.2875,0.975,0.275,4.57844425,2.778251,6.84640425,8
I,1.0875,0.8125,0.2625,3.2601925,1.8427175,3.855532,8
M,1.65,1.3,0.475,11.3398,8.448151,21.4038725,10
I,1.1875,0.9125,0.2875,4.422522,2.50893075,6.577084,10
I,0.925,0.675,0.225,1.8427175,1.20485375,1.984465,7
M,1.45,1.1375,0.325,6.3786375,4.89028875,11.623295,8
F,1.3625,1.1125,0.375,5.8683465,4.6209685,10.02154825,9
I,0.7875,0.575,0,9.93649975,0.80796075,1.63009625,6
F,1.475,1.15,0.3625,7.7961125,6.25106475,12.8423235,8
M,1.4875,1.2,0.35,8.1930055,5.17378375,11.60912025,9
M,0.8875,0.6625,0.225,1.7860185,1.1623295,1.417475,8
I,1.1875,0.9125,0.2875,3.78465825,3.50116325,6.3219385,9
F,1.4875,1.15,0.3875,8.74582075,6.80388,12.94154675,10
I,0.925,0.7,0.2125,1.644271,1.28990225,2.28213475,5
F,1.425,1.125,0.3375,5.953395,5.2446575,9.48290775,8
F,1.525,1.225,0.425,9.752228,8.00873375,13.05494475,12
M,1.7375,1.45,0.5,15.01106025,13.551061,19.1359125,13
M,1.725,1.2875,0.45,9.6671795,13.19669225,27.82503425,13
F,1.1875,0.9125,0.325,4.18155125,3.231843,5.40057975,12
M,1.6375,1.3375,0.5125,13.04077,10.19164525,20.70930975,13
F,1.525,1.2125,0.45,10.0640725,8.09378225,16.25843825,7
M,1.3875,1.125,0.4375,8.6465975,5.726599,9.28446125,10
M,1.525,1.1875,0.4375,9.128539,7.3992195,11.5949455,9
I,1.0625,0.8625,0.3125,4.365823,2.25378525,4.53592,13
I,1.075,0.8125,0.275,3.40194,2.65067825,3.84135725,13
F,1.775,1.25,0.375,7.93786,7.98038425,19.37688325,10
I,1.125,0.825,0.25,2.778251,2.83495,5.51397775,6
M,1.1875,0.9875,0.3375,5.6699,4.66349275,6.98815175,13
I,1.4375,1.1375,0.4,6.973977,5.5281525,14.0330025,9
I,0.825,0.6625,0.2125,1.26155275,0.86465975,2.19708625,6
I,0.6875,0.5125,0.2,0.850485,0.52446575,1.020582,6
I,1.45,1.1,0.3625,6.860579,4.66349275,9.99319875,10
I,0.9625,0.725,0.225,2.154562,1.43164975,2.83495,8
M,1.5375,1.2,0.475,13.324265,6.73300625,15.03940975,18
M,1.475,1.125,0.3,6.23689,3.72795925,9.48290775,14
F,1,0.8125,0.3,2.6932025,1.60174675,3.798833,8
I,1.175,0.8875,0.45,4.26659975,2.9766975,5.82582225,8
F,1.7625,1.4,0.425,12.47378,9.015141,17.2081465,11
M,1.225,0.9625,0.3125,5.03203625,2.721552,8.68912175,8
M,1.4,1.125,0.4,7.37087,5.046211,12.246984,15
F,1.1125,0.8875,0.375,4.3941725,3.5436875,5.1312595,11
F,1.6,1.2625,0.475,11.3398,9.298636,13.70698325,12
I,1.2875,0.975,0.3125,5.2446575,3.58621175,6.747181,8
M,1.5125,1.1875,0.35,7.767763,7.2858215,15.7339725,9
I,1.1125,0.775,0.225,2.42388225,2.551455,4.40834725,7
I,0.35,0.2625,0.0875,0.113398,0.07087375,0.15592225,3
I,1.125,0.85,0.3125,3.81300775,1.984465,4.8477645,8
M,1.4,1.05,0.375,6.56290925,5.57067675,12.47378,8
I,1.2125,0.9375,0.35,4.819415,3.4869885,5.6699,8
F,1.6875,1.3125,0.425,12.8990225,11.0846545,22.226008,12
I,0.9625,0.725,0.2375,2.438057,1.80019325,4.0539785,6
F,1.6375,1.1375,0.425,9.4403835,8.5898985,16.5277585,8
I,1.4125,1.1625,0.375,8.77417025,6.27941425,16.4710595,9
I,0.825,0.6,0.1875,1.360776,0.9355335,2.11203775,6
M,1.4875,1.1375,0.3625,7.8528115,5.159609,12.190285,11
M,1.425,1.1875,0.4875,8.6465975,5.40057975,13.13999325,18
I,1.1875,0.9375,0.2875,4.12485225,3.3735905,6.6054335,7
F,1.325,1.05,0.35,5.1879585,3.30271675,8.23552975,8
F,1.325,1.075,0.375,5.556502,5.25883225,9.2135875,9
I,0.9375,0.75,0.1875,1.247378,0.850485,1.6726205,7
F,1.1375,0.9375,0.3125,3.40194,3.1467945,5.62737575,10
F,1.2125,0.925,0.2875,3.6570855,2.70737725,5.65572525,7
F,1.325,1.1375,0.4125,8.40562675,7.98038425,8.94426725,11
F,1.425,1.1625,0.3875,7.2291225,7.3992195,12.643877,9
M,1.5125,1.1625,0.4125,9.63883,7.01650125,11.94931425,13
F,1.4375,1.15,0.375,8.46232575,5.8683465,9.4403835,9
F,1.325,1.05,0.325,7.5126175,6.406987,9.63883,17
M,1.4875,1.15,0.425,7.5126175,7.24329725,16.159215,10
F,1.3625,0.9625,0.375,8.06543275,6.93145275,15.37960375,9
I,0.9,0.75,0.2125,2.11203775,1.814368,3.35941575,7
M,1.45,1.15,0.375,8.6465975,5.48562825,14.75591475,10
F,1.3,1.025,0.3875,6.6621325,5.20213325,8.2497045,12
I,1.25,0.95,0.3125,3.798833,3.21766825,7.04485075,8
I,0.85,0.65,0.2125,1.70097,0.94970825,2.31048425,6
M,0.95,0.725,0.3,2.4097075,1.85689225,3.33106625,9
I,1.2,0.875,0.3375,4.479221,2.82077525,7.75358825,8
I,1.25,0.975,0.3125,4.55009475,3.742134,8.334753,8
I,0.975,0.775,0.2625,2.2963095,1.48834875,3.35941575,8
M,1.4125,1.0375,0.3125,5.2446575,4.37999775,8.561549,7
F,1.6875,1.4125,0.4875,15.6772735,10.24834425,21.67319275,12
I,0.7375,0.55,0.1625,0.9922325,0.793786,1.474174,6
I,0.75,0.575,0.2125,1.17650425,0.49611625,1.417475,6
M,1.6125,1.2625,0.4125,14.74174,7.427569,12.28950825,10
I,1.375,1.0875,0.35,6.747181,5.40057975,8.3631025,10
M,1.2125,0.9625,0.3125,4.819415,2.22543575,5.6699,12
F,1.5125,1.1375,0.3625,8.50485,5.62737575,9.468733,9
I,1.125,0.9,0.3125,4.1106775,2.45223175,5.4147545,12
M,1.25,1,0.4125,8.0796075,5.8116475,7.200773,13
F,1.5625,1.25,0.4375,10.602713,8.561549,15.989118,9
M,1.575,1.325,0.4375,10.07824725,8.34892775,18.9091165,13
M,0.9625,0.6875,0.2875,2.4097075,2.33883375,2.76407625,8
F,1.7375,1.3125,0.5125,12.82814875,11.41067375,23.2182405,13
I,1.475,1.15,0.3125,6.747181,4.252425,9.468733,9
F,1.5625,1.225,0.4375,10.19164525,6.13766675,12.71475075,8
F,1.65,1.3125,0.5,11.963489,8.49067525,18.49804875,11
F,0.825,0.65,0.2,1.984465,1.417475,1.77184375,9
M,1,0.75,0.3125,3.33106625,2.551455,5.4147545,9
M,1.7375,1.325,0.375,12.190285,8.57572375,18.07280625,14
M,1.4,1.125,0.3625,7.72523875,4.66349275,12.0485375,11
I,1.3375,1,0.325,4.9611625,4.592619,8.03708325,7
M,1.125,0.875,0.325,3.8271825,3.1467945,4.932813,8
M,1.3875,1.1,0.375,12.48795475,6.010094,11.793392,15
F,1.55,1.2125,0.4125,10.0640725,6.747181,13.6928085,13
I,0.7125,0.5375,0.15,0.850485,0.6520385,0.8788345,6
F,1.5625,1.225,0.3875,11.6516445,4.592619,13.1825175,11
M,1.5,1.1875,0.3875,8.788345,6.50621025,14.231449,9
I,1.175,0.925,0.35,4.1106775,3.47281375,5.93922025,10
M,1.4375,1.1125,0.425,6.463686,6.16601625,15.5638755,9
M,1.25,0.9625,0.3,6.6621325,3.5436875,6.53455975,14
I,1.3,0.9875,0.2875,5.273007,3.52951275,8.94426725,11
I,0.7875,0.6,0.175,1.13398,0.89300925,1.54504775,8
F,1.75,1.35,0.5375,20.128145,8.85921875,18.92329125,24
F,1.2625,0.975,0.3125,3.98310475,4.252425,6.973977,7
I,1.025,0.75,0.225,2.1262125,1.63009625,3.9972795,8
M,1.625,1.2375,0.4,9.07184,7.64019025,15.592225,10
I,0.6125,0.4375,0.1375,0.56699,0.510291,1.13398,5
M,1.3625,1.075,0.3875,6.463686,4.082328,11.5949455,7
I,1.3125,1.0125,0.375,7.2291225,5.8116475,8.71747125,14
M,1.3875,1.1,0.375,6.520385,4.139027,11.77921725,8
I,0.925,0.6875,0.2,2.041164,1.587572,2.6365035,6
I,0.6875,0.4875,0.175,0.72291225,0.623689,0.97805775,4
M,1.45,1.125,0.35,10.20582,6.123492,10.77281,14
M,1.525,1.225,0.4,9.6671795,6.463686,13.1825175,10
F,0.925,0.7125,0.2625,2.36718325,1.65844575,3.18931875,9
F,1.2625,0.975,0.2875,4.9611625,4.40834725,8.63242275,8
I,1.0125,0.7625,0.2625,3.5436875,1.99863975,4.43669675,10
M,1.725,1.35,0.4625,12.26115875,10.92873225,21.89998875,8
M,1.375,1.05,0.4,9.752228,8.8166945,17.93105875,10
M,1.3125,1.0875,0.3875,8.0796075,6.6054335,13.777857,8
M,1.375,1.125,0.3875,7.087375,4.5075705,9.7238785,12
I,1.2125,0.9125,0.3125,4.2807745,2.73572675,4.6209685,8
M,1.5625,1.1875,0.4,8.80251975,6.67630725,14.18892475,10
M,1.5875,1.2875,0.425,9.63883,8.107957,14.4298955,16
M,1.6125,1.3125,0.4,12.26115875,6.9456275,21.13455225,11
M,1.2625,0.9625,0.2625,4.40834725,3.52951275,6.7755305,9
F,1.225,1,0.3625,7.12989925,3.67126025,5.953395,13
F,1.5125,1.175,0.3875,9.48290775,6.350288,11.1413535,9
M,1.4,1.125,0.4625,11.623295,4.9611625,10.78698475,19
F,1.875,1.375,0.4875,12.47378,10.375917,23.530085,11
I,0.9875,0.8125,0.2625,2.6932025,2.08368825,3.1467945,8
I,1.05,0.7875,0.25,2.551455,2.25378525,4.4508715,6
M,1.45,1.15,0.4,7.44174375,7.66853975,14.5432935,9
